,Name,redshift,radius,inc,logM,logM_var,logSFR,logSFR_var,logZ0,dlogZ,logZ0_var,dlogZ_var,logZ0_dlogZ_var,grad_type,js_dist
51,b'UDFMosaic_00961',0.3102799952030182,0.2337725516932571,65.02979770823586,8.172,0.006400000000000012,-1.4171798459020033,0.0007546715999963194,-0.20831069643710742,-0.02545115098814378,0.08611124595841706,0.014462158348180218,-0.030707790459448374,b'flat',0.13544439333354985
52,b'UDFMosaic_00965',0.11312,0.1736656091097573,51.51245999333452,7.022,0.0030250000000000177,-2.253627209152802,0.0003928481769089389,-0.09988144675618546,0.030122208374860994,0.20032656327047954,0.0032616026776991834,0.01265670939467402,b'flat',0.3966633864536116
53,b'UDFMosaic_00977',0.5249800086021423,0.26836437027543647,36.82453554721546,8.462,0.014399999999999812,-0.5586073770369575,0.20543788040118274,-0.42465778303944,0.16231872300931918,0.12599028192821468,0.06345223386072243,-0.06261927342107156,b'flat',0.33225161126229374
54,b'CDFS_10101006',0.3105643554818122,0.4206702832169144,43.303413022672295,8.637,0.003599999999999953,-0.653740475255609,0.0009930391705828404,0.25211281957484905,-0.09492997689008864,0.0021245817702470887,0.00039628549721069803,-0.0004808809940746152,b'negative',0.016882523143035365
55,b'CDFS_10203017',0.3303412943726583,0.22099640017356453,43.561195473522154,8.417,0.0030249999999999687,-0.8653693233230341,0.0018118290345328857,-0.06144246899864132,-0.09791401485447185,0.09671573349330334,0.0188149600960196,-0.033533145566773434,b'flat',0.28257093790362015
56,b'CDFS_10221103',0.24661916444005622,0.47761692605839184,44.08401335820662,9.217,0.007224999999999994,-0.6787441387993964,0.0006066329198936453,-0.005088376080380197,-0.041520279828367,0.013651702486403365,0.0017891693876658525,-0.0019057944940072099,b'flat',0.022201950013542603
57,b'CDFS_10312059',0.5607400616601252,0.5090276562678286,50.01924866877102,10.25,0.007224999999999994,1.3681479293392262,0.36965583210717007,0.5820642050002056,-0.2526650859140842,0.006739239966212122,0.003017265089522369,-0.002567603496485849,b'negative',0.02493314617762126
58,b'CDFS_10405033',0.39949115258845436,0.5010697969859857,67.31112394176344,8.642,0.005256250000000098,-0.7202870109592058,0.0024912365826750224,-0.6856807423459287,0.12692665992388605,0.027165702281711335,0.003477798904133251,-0.00806521382999231,b'positive',0.024942536636095417
59,b'CDFS_10501001',0.2800571761203011,0.357322806652134,27.098575711834666,9.167,0.005625000000000027,-0.8800377489778554,0.003409434406160068,0.15238615639401507,-0.17193033472649316,0.026462791175256063,0.015207898560932966,-0.012553727729182144,b'flat',0.3027200051036305
60,b'CDFS_10502016',0.34278434768559024,0.44807993482825437,57.4569259245262,10.31,0.007224999999999994,0.24644592160068282,0.0002567585974763824,0.3996657349939807,-0.05148683083122269,0.004452907145210617,0.0011665349168887842,-0.0022263506961103015,b'flat',0.019536297282281154
61,b'CDFS_10512048',0.6788183394459234,0.5605825114505213,47.49598623192082,10.39,0.006400000000000012,1.0669466023884608,0.24841985729217758,0.5853471129233971,-0.1786912743276647,0.002670969865706107,0.001489265102479918,-0.0006464000280544071,b'negative',0.01585671088175401
62,b'CDFS_10601006',0.28790774089319476,0.3924924168349247,45.813829073070664,8.662,0.0030250000000000663,-0.6100707746701814,0.0011966216431964476,0.1407608539610276,-0.3698139844124624,0.041099462728328366,0.019125862939846007,-0.025557027524583376,b'negative',0.4284293732812808
63,b'CDFS_10602013',0.2879859269956272,0.4141018564581625,28.68445438349478,9.152,0.004556249999999986,-0.48059458769692104,0.0012823618209004668,0.06411031937643948,-0.05290040509269534,0.010303393976504451,0.00031654570656288535,-0.00012977587061915551,b'negative',0.02092120488519548
64,b'CDFS_10605027',0.3877858807414188,0.172301316338133,46.74316771482939,8.337,0.006806250000000076,-0.6006571751137653,0.0009502816962937715,-0.24775014840974452,0.04502443009472384,0.06967841461339194,0.0358349273537631,0.03439166376840041,b'flat',0.571322935846187
65,b'CDFS_10624064',0.670926034487614,0.2425754329393065,43.24178079584196,9.512,0.0030249999999999687,0.5616420581821253,0.1996726942984686,-0.5272578377667562,0.2984135848006681,0.12804226448431075,0.02544324785932292,-0.04584490129234137,b'flat',0.4069257715636102
66,b'CDFS_10713094',0.11653826866965128,0.1795566318756417,33.5878655595511,7.877,0.007224999999999994,-1.8487479912018645,0.001502281292925836,-0.2667681396209292,0.08062264658811422,0.006272749055433294,0.0011637699886067267,-0.0019993226314047826,b'flat',0.6796464239621286
67,b'CDFS_10729135',0.7358573427811221,0.3187986325748411,35.42014530489202,9.747,0.004899999999999916,0.8418386999198495,0.3018026572033514,0.620741775089468,-0.333880793076511,0.004511960937698531,0.0034096467273467034,-0.0024244845736437455,b'negative',0.02987265323296041
68,b'CDFS_10816127',0.2147251700834908,0.36461677723125974,47.2296878643176,8.497,0.004224999999999935,-1.0486653654900342,0.0010309330949892239,0.38048237089825787,-0.24465292512559486,0.013181078457318876,0.003962525528171019,-0.00552736079196464,b'negative',0.20428899194071484
69,b'CDFS_10902025',0.3340143873850093,0.49612153952557353,42.017505002359954,8.817,0.0033062500000000123,-0.6193628007656705,0.0024544615985595923,0.3579362955698935,-0.4131017396156456,0.017401211324937414,0.017462151998078903,-0.01505974531522281,b'negative',0.06334640257807098
70,b'CDFS_10905032',0.0771445381587354,0.23106001515839333,36.71054056740596,7.502,0.00390625,-1.9542923206657077,0.0005109450869793548,-0.19279876750264174,0.03903312190764163,0.13088390060824184,0.0024541468858733195,-0.00010326102368510603,b'flat',0.5299202566058165
71,b'CDFS_10913055',0.6102231475326614,0.33644216548610384,69.79767142972159,8.517,0.004225000000000051,0.02451292771355666,0.06336663630827892,-0.32634762873337075,0.01970001800137365,0.04022711984423841,0.023063597612996707,-0.0276599392545891,b'flat',0.04117543868920507
72,b'CDFS_11203032',0.24748730140217123,0.9659727542002259,35.34583678701867,9.332,0.0027562500000000226,0.022264654790641897,0.00019099376310256107,-0.07630540953949431,-0.1079451814357146,0.00045053073104987676,0.00012150292383001652,-0.00014716205829418846,b'negative',0.0031072988853908085
73,b'CDFS_11407070',0.1291932486185023,0.8605865009424416,48.01278542654791,8.657,0.008099999999999975,-1.4961180134205818,0.001017332823568537,0.19165867402751496,-0.22379575525577794,0.07412761084894182,0.04734479365924972,-0.05659110988792599,b'flat',0.163503369282435
74,b'CDFS_11612078',0.41589749742682525,0.2592437070450724,36.66106045033142,9.052,0.004225000000000051,-0.5405785227538406,0.0031531575993109496,-0.1490227882230257,-0.07274107760015859,0.28090025171066535,0.0510267207818307,-0.09563535117324924,b'flat',0.37873294706399374
75,b'CDFS_11703009',0.35828873188046567,0.7370332822958007,69.22110401972222,9.907,0.004556249999999986,-0.16434716613610006,0.0013814238236857551,0.6486646474979004,-0.26371761275331196,0.0010629177052122552,0.0006195798912597551,-0.0006355853518182924,b'negative',0.011686860952121743
76,b'CDFS_11707029',0.5228607933221363,0.08084314988209874,47.015890532681986,8.147,0.0027562500000000226,0.09896027949854996,0.12110722442729345,-0.48689413793652403,0.012546017399681723,0.03414809402854689,0.006844963021842127,-0.01345236524097858,b'flat',0.24725337193543026
77,b'CDFS_11801006',0.3363335166930077,0.28297729145360145,53.439970053214545,8.597,0.00390625,-0.48124599901043885,0.0011619602644364984,-0.2528486252719623,-0.0037386143980986256,0.008708489365811294,0.0023410947934102504,-0.003779597095324692,b'flat',0.03115845440212708
78,b'CDFS_11803015',0.21361145530011158,0.4987328323140845,52.52279173403787,8.647,0.004556249999999986,-0.9668948495501715,0.005474051799700897,-0.1769206238474219,0.016527393459578193,0.019628100019520336,0.016429242632215003,-0.01585507789875146,b'flat',0.07578301499444771
79,b'CDFS_11811046',0.5768212145924718,0.9531346548893629,32.202452767680086,10.54,0.004899999999999916,1.279583770655767,0.21324867563362782,0.6530904655114682,-0.23950755856229644,0.0004920232210058942,0.0003752209822476633,-0.0002612266729731239,b'negative',0.009560869887913225
80,b'CDFS_12102008',0.13091306779597092,0.06374129629300893,45.43048393300113,8.007,0.005256249999999969,-1.2677198502832916,0.00037066674993776143,-0.3333968947571474,0.009330059271162362,0.0038241412256652596,0.0005467876453592908,-0.001375666131552108,b'flat',0.39071732025811423
81,b'CDFS_12120046',0.7356668944523898,0.21126451167357552,40.40981153072089,10.23,0.004225000000000051,1.4011389536234173,0.2661092800979196,-0.32524336409405663,-0.10585854483727225,0.19260112580960145,0.05324791263880204,-0.059630669433135726,b'flat',0.46432553536949084
82,b'CDFS_12203050',0.21412718656124413,1.0667717405501302,52.790890519215964,9.967,0.0047609999999999935,0.016571423867573324,0.00028049838274027893,0.6948861350257912,-0.24047985987915782,1.5240345708167219e-05,2.2005845445483828e-05,-9.563456790631785e-06,b'negative',0.005399808122138438
83,b'CDFS_12311099',0.2322273028500691,0.20843232011867036,68.14762092724511,8.457,0.0030249999999999687,-1.0342199423345575,0.0008040961226028138,0.18304811357301573,-0.1475601379977909,0.01858215537178502,0.004197885444351848,-0.007900500237241367,b'flat',0.39318761297251126
